"Registration Authority Code","Country","Country Code","Jurisdiction (country or region)","International name of Register","Local name of Register","International name of organisation responsible for the Register","Local name of organisation responsible for the Register","Website","Comments"
"RA000818","Bosnia and Herzegovina","BA","Bosnia and Herzegovina","","","Securities Commission of Federation of Bosnia and Herzegovina","Komisija za vrijednosne papire Federacije Bosne i Hercegovine (FBiH)","http://www.komvp.gov.ba/site/index.php/en/","to be used as a Validation Authority for funds"
"RA000692","Bosnia and Herzegovina","BA","Republic of Srpska","Register of Business Entities","Registar poslovnih subjekata u Republici Srpskoj","Agency for financial, IT and intermediary services (APIF)","Agencija za posredničke, informatičke i finansijske usluge","https://www.apif.net/index.php/en/",""
"RA000819","Bosnia and Herzegovina","BA","Republika Srpska","","","Republic of Srpska Securities Commission","Комисија за хартије од вриједности Републике Српске","http://secrs.gov.ba/en/","to be used as a Validation Authority for funds"
"RA000035","Botswana","BW","Botswana","Register of Companies","Register of Companies","Companies and Intellectual Property Authority","Companies and Intellectual Property Authority","https://www.cipa.co.bw/",""
"RA000820","Botswana","BW","Botswana","","","The Bank of Botswana","The Bank of Botswana","https://www.bankofbotswana.bw/","to be used as a Validation Authority for funds"
"RA000821","Botswana","BW","Botswana","","","Non-Bank Financial Institutions Regulatory Authority (NBFIRA)","Non-Bank Financial Institutions Regulatory Authority (NBFIRA)","https://www.nbfira.org.bw/","to be used as a Validation Authority for funds"
"RA000062","Brazil","BR","Acre","","","JUCEAC Board of Trade of State of Acre","Junta Comercial do Acre (AC)","http://juceac.acre.gov.br/",""
"RA000036","Brazil","BR","Alagoas","","","JUCEAL Board of Trade of State of Alagoas","Junta Comercial do Estado de Alagoas","www.juceal.al.gov.br",""
"RA000037","Brazil","BR","Amapá","","","JUCAP Board of Trade of State of Amapa","Junta Comercial Do Amapá","http://www.jucap.ap.gov.br",""
"RA000038","Brazil","BR","Amazonas","","","JUCEA Board of Trade of State of Amazon","Junta Comercial do Estado do Amazonas","http://www.jucea.am.gov.br/pagina/links-e-servicos/",""
"RA000039","Brazil","BR","Bahia","","","JUCEB Board of Trade of State of Bahia","Junta Comercial do Estado da Bahia","http://www.certidaoonline.juceb.ba.gov.br/certidao/publico/consultanireempresa",""
"RA000681","Brazil","BR","Brazil","National Registry for Legal Entity","Cadastro Nacional da Pessoa Jurídica","Brazilian Internal Revenue Service","Receita Federal do Brasi","http://receita.economia.gov.br/orientacao/tributaria/cadastros/cadastro-nacional-de-pessoas-juridicas-cnpj",""
"RA000822","Brazil","BR","Brazil","","","","Comissão de Valores Mobiliários; Ministério da Economia","https://www.gov.br/cvm/pt-br","to be used as a Validation Authority for funds"
"RA000823","Brazil","BR","Brazil","","","","Banco Central do Brasil","https://www.bcb.gov.br/","to be used as a Validation Authority for funds"
"RA000040","Brazil","BR","Ceará","","","JUCEC Board of Trade of State of Ceara","Junta Comercial do Estado do Ceará","http://www.ceara.gov.br/",""
"RA000041","Brazil","BR","Distrito Federal","","","JCDF Board of Trade of State of Federal District","Junta Comercial do Distrito Federal","http://jucis.df.gov.br/",""
"RA000042","Brazil","BR","Espírito Santo","","","JUCEES Board of Trade of State of Espirito Santo","Junta Comercial do Espírito Santo (ES)","https://www.jucees.es.gov.br/consulta_empresas/",""
"RA000043","Brazil","BR","Goiás","","","JUCEG Board of Trade of State of Goias","Junta Comercial do Goiás (GO)","http://www.juceg.go.gov.br/",""
"RA000044","Brazil","BR","Maranhão","","","JUCEMA Board of Trade of State of Maranhao","Junta Comercial do Maranhão (MA)","http://www.jucema.ma.gov.br/home/",""
"RA000046","Brazil","BR","Mato Grosso do Sul","","","JUCEMS Board of Trade of State of Mato Grosso do Sul","Junta Comercial do Mato Grosso do Sul (MS)","https://certidaodigital.jucems.ms.gov.br/",""
"RA000045","Brazil","BR","Mato Grosso","","","JUCEMAT Board of Trade of State of Mato Grosso","Junta Comercial do Mato Grosso (MT)","http://www.jucemat.mt.gov.br/",""
"RA000047","Brazil","BR","Minas Gerais","","","JUCEMG Board of Trade of State of Minas Gerais","Junta Comercial do Minas Gerais (MG)","http://www.jucemg.mg.gov.br/ibr/inicio",""
"RA000048","Brazil","BR","Pará","","","JUCEPA Board of Trade of State of Para","Junta Comercial do Pará (PA)","http://www.jucepa.pa.gov.br/",""
"RA000049","Brazil","BR","Paraíba","","","JUCEP Board of Trade of State of Paraiba","Junta Comercial do Paraíba (PB)","http://www.jucep.pb.gov.br/",""
"RA000050","Brazil","BR","Paraná","","","JUCEPAR Board of Trade of State of Parana","Junta Comercial do Paraná (PR)","http://www.juntacomercial.pr.gov.br/modules/inscrit_quest/formulario.php?codigo=9",""
"RA000051","Brazil","BR","Pernambuco","","","JUCEPE Board of Trade of State of Pernambuco","Junta Comercial do Pernambuco (PE)","http://www.jucepe.pe.gov.br/jucepe.asp?pag=servicos.asp&item=servicosConsulta",""
"RA000052","Brazil","BR","Piauí","","","JUCEPI Board of Trade of State of Piaui","Junta Comercial do Piauí (PI)","http://www.jucepi.pi.gov.br/index.php",""
"RA000054","Brazil","BR","Rio Grande do Norte","","","JUCERN Board of Trade of State of North Rio Grande","Junta Comercial do Rio Grande do Norte (RN)","http://www.jucern.rn.gov.br/",""
"RA000055","Brazil","BR","Rio Grande do Sul","","","JUCERGC Board of Trade of State of South Rio Grande","Junta Comercial do Rio Grande do Sul (RS)","http://www.jucergs.rs.gov.br/index.asp#",""
"RA000053","Brazil","BR","Rio de Janeiro","","","JUCERJA Board of Trade of State of Rio de Janeiro","Junta Comercial do Rio de Janeiro (RJ)","http://www.jucerja.rj.gov.br/",""
"RA000056","Brazil","BR","Rondônia","","","JUCER Board of Trade of State of Rondonia","Junta Comercial do Rondônia (RO)","http://rondonia.ro.gov.br/jucer",""
"RA000057","Brazil","BR","Roraima","","","JUCERR Board of Trade of State of Roraima","Junta Comercial do Roraima (RR)","http://www.jucerr.rr.gov.br/",""
"RA000059","Brazil","BR","São Paulo","","","JUCESP Board of Trade of State of Sao Paulo","Junta Comercial do São Paulo (SP)","http://www.institucional.jucesp.sp.gov.br/",""
"RA000058","Brazil","BR","Santa Catarina","","","JUCESC Board of Trade of State of Santa Catarina","Junta Comercial do Santa Catarina (SC)","http://www.jucesc.sc.gov.br/",""
"RA000060","Brazil","BR","Sergipe","","","JUCESE Board of Trade of State of Sergipe","Junta Comercial do Sergipe (SE)","https://www.jucese.se.gov.br/",""
"RA000061","Brazil","BR","Tocantins","","","JUCETINS Board of Trade of State of Tocantins","Junta Comercial do Tocantins (TO)","https://jucetins.to.gov.br/",""
"RA000063","British Virgin Islands","VG","British Virgin Islands","Register of Companies","Register of Companies","Registry of Corporate Affairs (British Virgin Islands Financial Services Commission)","Registry of Corporate Affairs (British Virgin Islands Financial Services Commission)","https://www.bvifsc.vg/registry-corporate-affairs",""
"RA000064","Brunei Darussalam","BN","Brunei Darussalam","Registry of Companies and Business Names","","Registry of Companies and Business Names (Ministry of Finance)","","https://www.roc.gov.bn/",""
"RA000824","Brunei Darussalam","BN","Brunei Darussalam","","","​Brunei Darussalam Central Bank (BDCB)","","https://www.bdcb.gov.bn/home.aspx","to be used as a Validation Authority for funds"
"RA000065","Bulgaria","BG","Bulgaria","Commercial Register","Търговски регистър","Registry Agency (Ministry of Justice)","Агенция по вписванията","http://www.brra.bg/Default.ra",""
"RA000066","Bulgaria","BG","Bulgaria","Public register and filing cabinet","Електронен регистър и картотека","Financial Supervision Commission","Комисия за финансов надзор","http://www.fsc.bg/en/",""
"RA000730","Bulgaria","BG","Bulgaria","Bulstat Registry","Регистър Булстат","Registry Agency","Агенция по вписванията","http://reports.bulstat.bg:8081/bulstat-ireports/report.jsf?x_rpt=rpt1",""
"RA000731","Bulgaria","BG","Bulgaria","Register of non-profit legal entities for public benefit","Портал за електронни административни услуги за юридическите лица с нестопанска цел в обществена полза","Ministry of Justice","Министерство на правосъдието","https://ngo.mjs.bg/bg","to be used for non-profit entities"
"RA000067","Burkina Faso","BF","Burkina Faso","","","House of Enterprises of Burkina Faso","La Maison de l'Entreprise du Burkina Faso","http://www.me.bf/en",""
"RA000814","Burkina Faso","BF","Burkina Faso","","","Central Bank of West African States (BCEAO)","Banque Central des Etats de l'Afrique de l'Ouest (BCEAO)","https://www.bceao.int/index.php/en","to be used as a Validation Authority for funds"
"RA000068","Burundi","BI","Burundi","Commercial Registry","","Burundi Investment Promotion Agency (API)","Agence de promotion de l'investissement au Burundi","https://en.investburundi.bi/",""
"RA000825","Burundi","BI","Burundi","","","Bank of the Republic of Burundi","Banque de la République du Burundi","https://www.brb.bi/","to be used as a Validation Authority for funds"
"RA000069","Cabo Verde","CV","Cabo Verde","Cabo Verde Commercial Registry","","","Direção Geral dos Registos, Notariado e Identificação","https://caboverde.eregulations.org/show-step.asp?mid=6&rid=13&sno=66&l=en",""
"RA000683","Cabo Verde","CV","Cabo Verde","Funds registration","Organismos de investimento Coletivo","Central Bank of Cabo Verde","Banco de Cabo Verde","www.bcv.cv",""
"RA000826","Cabo Verde","CV","Cabo Verde","","","","Auditoria Geral do Mercado de Valores Mobiliários, Banco Central of Cabo Verde","http://www.bcv.cv","to be used as a Validation Authority for funds"
"RA000070","Cambodia","KH","Cambodia","Commercial Register","","Ministry of Commerce","ក្រសួងពាណិជ្ជកម្ម","http://www.moc.gov.kh/en-us/",""
"RA000827","Cambodia","KH","Cambodia","","","Securities and Exchange Regulator of Cambodia","","https://www.serc.gov.kh/english/index.php","to be used as a Validation Authority for funds"
"RA000828","Cambodia","KH","Cambodia","","","The National Bank of Cambodia (NBC)","","https://www.nbc.org.kh/english/index.php","to be used as a Validation Authority for funds"
"RA000071","Cameroon","CM","Cameroon","Planning and Regional Development (Ministry of Economy)","","Planning and Regional Development (Ministry of Economy)","Planification et du Développement régional (Ministere de l'Economie)","https://www.minepatgov.org/",""
"RA000829","Cameroon","CM","Cameroon","","","Bank of Central African States (BEAC)","Banque des États de l'Afrique Centrale (BEAC)","https://www.beac.int/","to be used as a Validation Authority for funds"
"RA000073","Canada","CA","Alberta","Corporate Registry (Province of Alberta)","Corporate Registry (Province of Alberta)","Ministry of Service Alberta","Ministry of Service Alberta","http://www.servicealberta.com/731.cfm",""
"RA000832","Canada","CA","Alberta","","","Alberta Securities Commission","Alberta Securities Commission","https://asc.ca/","to be used as a Validation Authority for funds"
"RA000074","Canada","CA","British Columbia","Corporate Registry (Province of British Columbia)","Corporate Registry (Province of British Columbia)","BC Registry Services","BC Registry Services","http://www.bcregistryservices.gov.bc.ca/bcreg/corppg/index.page",""
"RA000833","Canada","CA","British Columbia","","","British Columbia Securities Commission","British Columbia Securities Commission","https://www.bcsc.bc.ca/","to be used as a Validation Authority for funds"
"RA000072","Canada","CA","Canada","Corporate Registry","Corporate Registry","Corporations Canada","Corporations Canada","http://www.corporationscanada.ic.gc.ca/eic/site/cd-dgc.nsf/eng/home",""
"RA000830","Canada","CA","Canada","System for Electronic Document Analysis and Retrieval (SEDAR)","System for Electronic Document Analysis and Retrieval (SEDAR)","Canadian Securities Administrators","Autorités canadiennes en valeurs mobilières","https://www.sedar.com/","to be used as a Validation Authority for funds"
"RA000831","Canada","CA","Canada","Federally Regulated Financial Institutions","Federally Regulated Financial Institutions","Office of the Superintendent of Financial Institutions (OFSI)","Office of the Superintendent of Financial Institutions (OFSI)","https://www.osfi-bsif.gc.ca/eng/wt-ow/Pages/wwr-er.aspx?sc=1&gc=2#WWRLink12","to be used to verify information on financial institutions which are not to be found in the regular business registries in Canada"
"RA000075","Canada","CA","Manitoba","Companies Registry","Companies Registry","Companies Office (Province of Manitoba)","Companies Office (Province of Manitoba)","http://www.companiesoffice.gov.mb.ca/",""
"RA000834","Canada","CA","Manitoba","","","Manitoba Securities Commission","Manitoba Securities Commission","https://mbsecurities.ca/","to be used as a Validation Authority for funds"
"RA000076","Canada","CA","New Brunswick","Corporate Registry (Province of New Brunswick)","Corporate Registry (Province of New Brunswick)","Service New Brunswick","Service New Brunswick","http://www.snb.ca/e/6000/6600e.asp",""
"RA000835","Canada","CA","New Brunswick","","","Financial and Consumer Services Commission","Financial and Consumer Services Commission","https://www.fcnb.ca/en","to be used as a Validation Authority for funds"
"RA000077","Canada","CA","Newfoundland and Labrador","Registry of Companies (Province of Newfoundland and Labrador)","Registry of Companies (Province of Newfoundland and Labrador)","Service Newfoundland and Labrador","Service Newfoundland and Labrador","http://www.servicenl.gov.nl.ca/registries/companies.html",""
"RA000836","Canada","CA","Newfoundland and Labrador","","","Financial Services Regulation Division","Financial Services Regulation Division","https://www.gov.nl.ca/dgsnl/department/branches/divisions/fsr/","to be used as a Validation Authority for funds"
"RA000083","Canada","CA","Northwest Territories","Corporate Registry (Department of Justice)","Corporate Registry (Department of Justice)","Corporate Registries","Corporate Registries","https://www.justice.gov.nt.ca/en/divisions/legal-registries-division/corporate-registries/",""
"RA000837","Canada","CA","Northwest Territories","","","Office of the Superintendent of Securities","Office of the Superintendent of Securities","https://www.justice.gov.nt.ca/en/divisions/legal-registries-division/securities-office/","to be used as a Validation Authority for funds"
"RA000078","Canada","CA","Nova Scotia","Registry of Joint Stock Companies (Province of Nova Scotia)","Registry of Joint Stock Companies (Province of Nova Scotia)","Service Nova Scotia","Service Nova Scotia","http://novascotia.ca/snsmr/access/business/registry-joint-stock-companies.asp",""
"RA000838","Canada","CA","Nova Scotia","","","Nova Scotia Securities Commission","Nova Scotia Securities Commission","https://nssc.novascotia.ca/","to be used as a Validation Authority for funds"
"RA000084","Canada","CA","Nunavut","Corporate Registry (Department of Justice)","Corporate Registry (Department of Justice)","Corporate Registries","Corporate Registries","http://nunavutlegalregistries.ca/cr_index_en.shtml",""
"RA000839","Canada","CA","Nunavut","","","Office of the Superintendent of Securities","Office of the Superintendent of Securities","http://nunavutlegalregistries.ca/sr_index_en.shtml","to be used as a Validation Authority for funds"
"RA000079","Canada","CA","Ontario","Corporate Registry (Province of Ontario)","Corporate Registry (Province of Ontario)","Ministry of Government and Consumer Services","Ministry of Government and Consumer Services","https://www.appmybizaccount.gov.on.ca/sodp/portal/osb/!ut/p/b0/04_Sj9CPykssy0xPLMnMz0vMAfIjCxLTU3My87Kt8ouT9Aryi0oSc_QKSpNyMpP1MvJzU_ULsh0VAfzzwt0!/",""
"RA000840","Canada","CA","Ontario","","","Ontario Securities Commission (OSC)","Ontario Securities Commission (OSC)","https://www.osc.ca/en","to be used as a Validation Authority for funds"
"RA000080","Canada","CA","Prince Edward Island","Prince Edward Island Corporate/Business Names Registry","Prince Edward Island Corporate/Business Names Registry","Department of Justice and Public Safety","Department of Justice and Public Safety","http://www.gov.pe.ca/corporations/index.php",""
